candidate_id,bucket,hard_reasons,refine_reasons,dataset,model_key,operation,error_type,edit_description_edit_copy,rule_text_edit_copy,rationale_edit_copy,rule_text_target_copy,rationale_target_copy,specific_source_evidence
rf-edit-0283::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,rejected,alignment_error,unsupported_confidence,EXPECT,coedit_large,replace,R:OTHER,False,False,False,False,False,True
rf-edit-0283::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,rejected,alignment_error,unsupported_confidence,EXPECT,coedit_large,replace,R:OTHER,False,False,False,False,False,True
rf-edit-0284::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,refine,,rationale_edit_copy,EXPECT,coedit_large,replace,R:NOUN,True,False,True,False,True,True
rf-edit-0284::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,accepted,,,EXPECT,coedit_large,replace,R:NOUN,True,False,False,False,False,True
rf-edit-0287::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,rejected,alignment_error,unsupported_confidence,EXPECT,coedit_large,replace,R:NOUN,False,False,False,False,False,True
rf-edit-0287::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,rejected,alignment_error,unsupported_confidence,EXPECT,coedit_large,replace,R:NOUN,False,False,False,False,False,True
rf-edit-0289::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,rejected,alignment_error,unsupported_confidence,EXPECT,coedit_large,replace,R:OTHER,False,False,False,False,False,True
rf-edit-0289::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,rejected,alignment_error,unsupported_confidence,EXPECT,coedit_large,replace,R:OTHER,False,False,False,False,False,True
rf-edit-0290::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,rejected,alignment_error,unsupported_confidence,EXPECT,coedit_large,replace,R:OTHER,False,False,False,False,False,True
rf-edit-0290::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,rejected,alignment_error,unsupported_confidence,EXPECT,coedit_large,replace,R:OTHER,False,False,False,False,False,True
rf-edit-0291::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,rejected,alignment_error;validity_error_auto;possible_false_rationalization,unsupported_confidence,EXPECT,coedit_large,replace,R:SPELL,False,False,False,False,False,True
rf-edit-0291::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,rejected,alignment_error;validity_error_auto;possible_false_rationalization,unsupported_confidence,EXPECT,coedit_large,replace,R:SPELL,False,False,False,False,False,True
rf-edit-0292::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,accepted,,,EXPECT,coedit_large,replace,R:NOUN,True,False,False,False,False,True
rf-edit-0292::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,accepted,,,EXPECT,coedit_large,replace,R:NOUN,True,False,False,False,False,True
rf-edit-0293::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,accepted,,,EXPECT,coedit_large,replace,R:OTHER,True,False,False,False,False,True
rf-edit-0293::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,accepted,,,EXPECT,coedit_large,replace,R:OTHER,True,False,False,False,False,True
rf-edit-0294::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,accepted,,,EXPECT,coedit_large,replace,R:OTHER,True,False,False,False,True,True
rf-edit-0294::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,accepted,,,EXPECT,coedit_large,replace,R:OTHER,True,False,False,False,False,True
