candidate_id,dataset,sample_id,model_key,source,model_prediction,operation,edit_start,edit_end,source_text,target_text,edit_description,edit_validity,rule_text,evidence_spans_json,rationale,confidence,human_alignment_error,human_validity_error,human_wrong_rule,human_inapplicable_rule,human_missing_evidence,human_wrong_evidence,human_generic_explanation,human_edit_copy,human_semantic_distortion,human_unsupported_confidence,human_notes,human_decision
rf-edit-0107::qwen3_8b::rule_grounded::evidence_canonicalized,JFLEG,jfleg-dev-0004,gector_roberta_base,"image you salf you are wark in factory just to do one thing like pot taire on car if they fire you you will destroy , becouse u dont know more than pot taire in car .","Imagine working in a factory just to do one thing , like potting taire on a car . If they fire you , you will destroy it , because you do know more than potting taire on a car .",replace,32,33,pot,potting,Replace 'pot' with 'potting' to correct the verb form.,valid,Verbs should be correctly inflected to match context and meaning.,"[{""end"": 33, ""role"": ""error"", ""start"": 32, ""text"": ""pot""}]","The word 'pot' is a base form of the verb, but in this context, the correct form should be 'potting' to indicate the ongoing action of potting tires on a car. This aligns with standard English grammar rules regarding verb forms in participial phrases.",0.95,no,yes,yes,yes,yes,no,no,yes,yes,yes,"Codex prelabel from automatic diagnostics: validity_error, wrong_rule, inapplicable_rule, missing_evidence, edit_copy, ...",reject
rf-edit-0141::qwen3_8b::natural::evidence_canonicalized,JFLEG,jfleg-dev-0006,t5_base_grammar,"I want to talk about nocive or bad products like alcohol , hair spray and cigarrets .","I want to talk about harmful or bad products like alcohol, hair spray and cigarettes.",replace,5,6,nocive,harmful,Replace 'nocive' with 'harmful',valid,Use the correct spelling of words to ensure clarity and correctness in communication.,"[{""end"": 6, ""role"": ""error"", ""start"": 5, ""text"": ""nocive""}]","The word 'nocive' is not a standard English word. The intended word is likely 'harmful', which is a commonly used adjective to describe something that causes harm. Replacing 'nocive' with 'harmful' corrects the spelling and improves the clarity of the sentence.",0.95,no,yes,yes,yes,yes,no,no,yes,yes,yes,"Codex prelabel from automatic diagnostics: validity_error, wrong_rule, inapplicable_rule, missing_evidence, edit_copy, ...",reject
rf-edit-0035::qwen3_8b::rule_grounded::evidence_canonicalized,EXPECT,expect-test-00028,gector_roberta_base,A worldwide war is the only case in which we would see a dramatic change in peoples lives in the time length of 50 years from now .,A worldwide war is the only case in which we will see a dramatic change in peoples ' lives in 50 years from now .,insert,17,17,,',Insert an apostrophe after 'peoples' to form the possessive form 'peoples' correctly.,stylistic,Use an apostrophe to indicate possession in plural nouns.,"[{""end"": 17, ""role"": ""target"", ""start"": 16, ""text"": ""peoples""}]",The word 'peoples' is a plural noun and requires an apostrophe to indicate possession. The insertion of the apostrophe is a stylistic choice to ensure grammatical correctness in the possessive form.,0.95,no,no,no,no,yes,yes,no,yes,no,yes,"Codex prelabel from automatic diagnostics: missing_evidence, wrong_evidence, edit_copy, unsupported_confidence.",refine
rf-edit-0051::qwen3_8b::natural::evidence_canonicalized,EXPECT,expect-test-00018,gector_roberta_base,"I live in San Miguel Almoloyan , this is a village in the municipality of Almoloya de Juarez in the State of Mexico . Caring of the environment is very important and in my village they take different actions to care for it .",I live in San Miguel Almoloyan . This is a village in the municipality of Almoloya de Juarez in the State of Mexico . Caring for the environment is very important and in my village they take different actions to care for it .,replace,25,26,of,for,Replace 'of' with 'for' in the phrase 'Caring of the environment',valid,"The preposition 'for' is used to indicate purpose or relation to something, while 'of' indicates possession or composition.","[{""end"": 28, ""role"": ""target"", ""start"": 24, ""text"": ""Caring of the environment""}]","The phrase 'Caring of the environment' is grammatically incorrect because 'of' does not convey the intended relationship between the action (caring) and its object (the environment). The correct preposition to use here is 'for', which indicates purpose or relation to something.",0.95,no,no,no,no,yes,yes,no,yes,no,yes,"Codex prelabel from automatic diagnostics: missing_evidence, wrong_evidence, edit_copy, unsupported_confidence.",refine
rf-edit-0051::qwen3_8b::rule_grounded::evidence_canonicalized,EXPECT,expect-test-00018,gector_roberta_base,"I live in San Miguel Almoloyan , this is a village in the municipality of Almoloya de Juarez in the State of Mexico . Caring of the environment is very important and in my village they take different actions to care for it .",I live in San Miguel Almoloyan . This is a village in the municipality of Almoloya de Juarez in the State of Mexico . Caring for the environment is very important and in my village they take different actions to care for it .,replace,25,26,of,for,Replace 'of' with 'for' in the phrase 'Caring of the environment',valid,"The preposition 'for' is used to indicate purpose or relation to something, whereas 'of' indicates possession or composition.","[{""end"": 28, ""role"": ""target"", ""start"": 24, ""text"": ""Caring of the environment""}]","The phrase 'Caring of the environment' is grammatically incorrect because 'of' does not convey the intended relationship between the action (caring) and its target (the environment). The correct preposition to use here is 'for', which indicates purpose or relation.",0.95,no,no,no,no,yes,yes,no,yes,no,yes,"Codex prelabel from automatic diagnostics: missing_evidence, wrong_evidence, edit_copy, unsupported_confidence.",refine
rf-edit-0058::qwen3_8b::rule_grounded::evidence_canonicalized,EXPECT,expect-test-00061,gector_roberta_base,Variety of buses are provided by the government in order to meet people 's financial means .,A variety of buses are provided by the government in order to meet people 's financial means .,replace,0,1,Variety,A variety,Replace 'Variety' with 'A variety',stylistic,Use of definite or indefinite articles for noun phrases,"[{""end"": 1, ""role"": ""modified"", ""start"": 0, ""text"": ""Variety""}]","The original sentence begins with 'Variety', which is a non-count noun and does not require an article. Adding 'A' before 'variety' makes the noun phrase grammatically complete and more natural in standard English usage.",0.95,no,no,no,no,yes,yes,no,yes,no,yes,"Codex prelabel from automatic diagnostics: missing_evidence, wrong_evidence, edit_copy, unsupported_confidence.",refine
rf-edit-0074::qwen3_8b::natural::evidence_canonicalized,EXPECT,expect-test-00038,gector_roberta_base,"which play an important role to giving tough competition to the government . as a result of this consumer gets more benefits , like lower faire , privacy , freedom and safe travelling.in addition many automobile companies launcing new cars at affordable prices , which encourages people to use more and more private vechile .","which play an important role in giving tough competition to the government . As a result of this , consumers get more benefits , like lower faire , privacy , freedom and safe journeys . In addition , many automobile companies are launcing new cars at affordable prices , which encourages people to use more and more private vegetables .",insert,37,37,,are,Insert 'are' before 'launcing' to form the correct verb phrase 'are launcing'.,valid,The subject and verb must agree in number (singular/plural).,"[{""end"": 38, ""role"": ""source"", ""start"": 34, ""text"": ""many automobile companies launcing""}]","The subject 'many automobile companies' is plural, so the verb must also be plural. The original sentence used 'launcing' without a helping verb, which is incorrect. Inserting 'are' before 'launcing' ensures subject-verb agreement.",1.0,no,yes,yes,yes,yes,no,no,yes,yes,yes,"Codex prelabel from automatic diagnostics: validity_error, wrong_rule, inapplicable_rule, missing_evidence, edit_copy, ...",reject
rf-edit-0127::qwen3_8b::natural::evidence_canonicalized,EXPECT,expect-test-00018,t5_base_grammar,"I live in San Miguel Almoloyan , this is a village in the municipality of Almoloya de Juarez in the State of Mexico . Caring of the environment is very important and in my village they take different actions to care for it .","I live in San Miguel Almoloyan , this is a village in the municipality of Almoloya de Juarez in the State of Mexico . Caring for the environment is very important and in my village they take different actions to care for it.",replace,25,26,of,for,Replace 'of' with 'for' in the phrase 'Caring of the environment',valid,"The preposition 'for' is used to indicate purpose or relation to something, whereas 'of' indicates possession or composition.","[{""end"": 28, ""role"": ""target"", ""start"": 24, ""text"": ""Caring of the environment""}]","The phrase 'Caring of the environment' is grammatically incorrect because 'of' does not convey the intended relationship between the action (caring) and its object (the environment). The correct preposition to use here is 'for', which indicates purpose or relation to something.",0.95,no,no,no,no,yes,yes,no,yes,no,yes,"Codex prelabel from automatic diagnostics: missing_evidence, wrong_evidence, edit_copy, unsupported_confidence.",refine
rf-edit-0127::qwen3_8b::rule_grounded::evidence_canonicalized,EXPECT,expect-test-00018,t5_base_grammar,"I live in San Miguel Almoloyan , this is a village in the municipality of Almoloya de Juarez in the State of Mexico . Caring of the environment is very important and in my village they take different actions to care for it .","I live in San Miguel Almoloyan , this is a village in the municipality of Almoloya de Juarez in the State of Mexico . Caring for the environment is very important and in my village they take different actions to care for it.",replace,25,26,of,for,Replace 'of' with 'for' in the phrase 'Caring of the environment',valid,"The preposition 'for' is used to indicate purpose or benefit, while 'of' indicates possession or association.","[{""end"": 28, ""role"": ""target"", ""start"": 24, ""text"": ""Caring of the environment""}]","The phrase 'Caring of the environment' is grammatically incorrect because 'of' implies possession or association, which does not fit the context. The correct preposition is 'for', which indicates purpose or benefit. Therefore, replacing 'of' with 'for' improves the grammatical accuracy and clarity of the sentence.",0.95,no,no,no,no,yes,yes,no,yes,no,yes,"Codex prelabel from automatic diagnostics: missing_evidence, wrong_evidence, edit_copy, unsupported_confidence.",refine
rf-edit-0165::qwen3_8b::rule_grounded::evidence_canonicalized,EXPECT,expect-test-00009,t5_base_grammar,But such a high level of development of Egyptian civilization has a negative side as well as positive .,"There is a high level of development of Egyptian civilization, but there is a negative side as well as a positive side.",insert,17,17,,a,Inserting 'a' before 'positive' to complete the phrase 'as well as a positive side',stylistic,"Use of indefinite articles ('a', 'an') before singular countable nouns.","[{""end"": 18, ""role"": ""target"", ""start"": 14, ""text"": ""as well as positive""}]","The original sentence lacks an article before 'positive', which is a singular countable noun. Inserting 'a' makes the sentence grammatically complete and stylistically correct by adhering to standard article usage rules.",0.95,no,no,no,no,yes,yes,no,yes,no,yes,"Codex prelabel from automatic diagnostics: missing_evidence, wrong_evidence, edit_copy, unsupported_confidence.",refine
rf-edit-0207::qwen3_8b::natural::evidence_canonicalized,JFLEG,jfleg-dev-0014,t5_base_grammar,One person if do n't have good health that means so many things they could lost .,"One person if they don't have good health, that means so many things they could lose.",replace,3,4,do,they,Replace 'do' with 'they' to correct the subject-verb agreement and make the sentence grammatically correct.,valid,Subject-verb agreement requires the verb form to match the subject in number and person.,"[{""end"": 17, ""role"": ""source"", ""start"": 0, ""text"": ""One person if do n't have good health that means so many things they could lost .""}]",The original sentence contains a grammatical error where the subject 'one person' is incorrectly paired with the verb 'do'. Replacing 'do' with 'they' ensures proper subject-verb agreement and makes the sentence syntactically correct.,0.95,no,yes,yes,yes,yes,no,no,yes,yes,yes,"Codex prelabel from automatic diagnostics: validity_error, wrong_rule, inapplicable_rule, missing_evidence, edit_copy, ...",reject
rf-edit-0207::qwen3_8b::rule_grounded::evidence_canonicalized,JFLEG,jfleg-dev-0014,t5_base_grammar,One person if do n't have good health that means so many things they could lost .,"One person if they don't have good health, that means so many things they could lose.",replace,3,4,do,they,Replace 'do' with 'they' to correct the subject-verb agreement and make the sentence grammatically correct.,valid,A subject and its corresponding verb must agree in number (singular/plural) and person (first/second/third).,"[{""end"": 17, ""role"": ""source"", ""start"": 0, ""text"": ""One person if do n't have good health that means so many things they could lost .""}]",The original sentence contains a grammatical error where the subject 'One person' is paired with the incorrect verb 'do'. Replacing 'do' with 'they' ensures subject-verb agreement and creates a coherent conditional clause. This edit aligns with standard English grammar rules regarding subject-verb agreement and proper clause formation.,0.95,no,yes,yes,yes,yes,no,no,yes,yes,yes,"Codex prelabel from automatic diagnostics: validity_error, wrong_rule, inapplicable_rule, missing_evidence, edit_copy, ...",reject
rf-edit-0248::qwen3_8b::rule_grounded::evidence_canonicalized,EXPECT,expect-test-00008,coedit_large,"I 'd like to tell you about my favorite restaurant its name is "" Lemon "" I go there every week it has different food to other restaurants I 'd like chicken crispy with garlic sauce It 's an Excellent choice for me and My favorite appitizer is susage and in order that dessert I 'd like "" Vadge "" cake with chocolate sauce I feel at ease when I go there I enjoy classical music while having lunch about the service It 's very good and all the staff are respectable I ca n't imagine one week without going there that would drive me nuts I advise everyone to go there and enjoy their time there , also this restaurant has a relative advantage in hygiene really It 's excellent The striking thing for anyone despite all of these advantages the prices are not expensive .","I 'd like to tell you about my favorite restaurant. It 's called "" Lemon "". I go there every week. It has different food than other restaurants. I 'd like chicken crispy with garlic sauce. It 's an excellent choice for me, and my favorite appitizer is sausage, and in order for dessert, I 'd like "" Vadge "" cake with chocolate sauce. I feel at ease when I go there. I enjoy classical music while having lunch, and the service is very good and all the staff are respectable. I can n't imagine one week without",replace,10,12,its name,It,Replace 'its name' with 'It' to refer back to the restaurant.,stylistic,Use a pronoun to refer back to a previously mentioned noun to avoid repetition and improve clarity.,"[{""end"": 16, ""role"": ""source"", ""start"": 0, ""text"": ""I 'd like to tell you about my favorite restaurant its name is \"" Lemon \""""}, {""end"": 6, ""role"": ""target"", ""start"": 0, ""text"": ""I 'd like to tell you""}]","Replacing 'its name' with 'It' improves sentence flow by using a pronoun to refer back to the restaurant, which was previously introduced. This avoids redundancy and makes the sentence more concise and natural.",0.95,no,no,no,no,yes,yes,no,yes,no,yes,"Codex prelabel from automatic diagnostics: missing_evidence, wrong_evidence, edit_copy, unsupported_confidence.",refine
rf-edit-0267::qwen3_8b::rule_grounded::evidence_canonicalized,EXPECT,expect-test-00009,coedit_large,But such a high level of development of Egyptian civilization has a negative side as well as positive .,But such a high level of development of Egyptian civilization has a negative side as well as a positive side.,insert,17,17,,a,Inserting the article 'a' before 'positive side',stylistic,Nouns that are countable and not previously mentioned in the sentence should be preceded by an article (a/an).,"[{""end"": 18, ""role"": ""target"", ""start"": 17, ""text"": ""positive""}]","The noun 'side' is countable and refers to a specific concept ('positive side') that has not been introduced earlier in the sentence. Therefore, it should be preceded by the indefinite article 'a' to make the sentence grammatically correct and natural.",0.95,no,no,no,no,yes,yes,no,yes,no,yes,"Codex prelabel from automatic diagnostics: missing_evidence, wrong_evidence, edit_copy, unsupported_confidence.",refine
rf-edit-0163::qwen3_8b::natural::evidence_canonicalized,EXPECT,expect-test-00013,t5_base_grammar,Computers have had a most significant impact on the people in the latter 1/2 of the 20th century .,Using the Internet for the first time since the beginning of the 20th century.,replace,7,8,on,for,Replace 'on' with 'for' in the phrase 'have had a most significant impact on the people',acceptable_alternative,"Use 'for' to indicate the purpose or reason of an action, while 'on' typically indicates a topic or subject.","[{""end"": 8, ""role"": ""target"", ""start"": 7, ""text"": ""on""}]","The original sentence uses 'on' which implies a surface-level interaction, but the intended meaning is about the impact being directed towards the people. Replacing 'on' with 'for' better conveys that the impact was experienced by the people, aligning with the intended meaning.",0.85,no,no,no,no,yes,yes,no,yes,no,yes,"Codex prelabel from automatic diagnostics: missing_evidence, wrong_evidence, edit_copy, unsupported_confidence.",refine
rf-edit-0257::qwen3_8b::natural::evidence_canonicalized,EXPECT,expect-test-00001,coedit_large,"Technology has chanched people 's lives a lot . In fact we can think how different is our life compared either to our parents ' or our grandparents ' lives . For example my parents did n't watch tv , because there was n't any tv in the world when they were young.but that is n't the only difference : we can think about the mobile phone , the computer ed finally the internet.our grandparents could n't have imagined a strange machine like the computer in their lives .","Technology has changed people's lives a lot. In fact, we can think how different our lives are compared to either our parents' or our grandparents' lives. For example, my parents didn't watch tv because there wasn't any TV in the world when they were young. But that isn't the only difference: we can think about the mobile phone, the computer, and finally the internet. Our grandparents couldn't have imagined a strange machine like the computer in their lives.",replace,32,33,example,"example,","Replace 'example' with 'example,'",stylistic,A comma should follow 'example' when it is used as a standalone sentence or introductory phrase.,"[{""end"": 33, ""role"": ""source"", ""start"": 32, ""text"": ""example""}, {""end"": 33, ""role"": ""target"", ""start"": 32, ""text"": ""example""}]","The edit adds a comma after 'example' to improve clarity and punctuation consistency, which is a stylistic choice rather than a grammatical necessity. This is common in writing to separate examples from the main clause.",0.95,no,no,no,no,no,yes,no,yes,no,yes,"Codex prelabel from automatic diagnostics: wrong_evidence, edit_copy, unsupported_confidence.",refine
rf-edit-0257::qwen3_8b::rule_grounded::evidence_canonicalized,EXPECT,expect-test-00001,coedit_large,"Technology has chanched people 's lives a lot . In fact we can think how different is our life compared either to our parents ' or our grandparents ' lives . For example my parents did n't watch tv , because there was n't any tv in the world when they were young.but that is n't the only difference : we can think about the mobile phone , the computer ed finally the internet.our grandparents could n't have imagined a strange machine like the computer in their lives .","Technology has changed people's lives a lot. In fact, we can think how different our lives are compared to either our parents' or our grandparents' lives. For example, my parents didn't watch tv because there wasn't any TV in the world when they were young. But that isn't the only difference: we can think about the mobile phone, the computer, and finally the internet. Our grandparents couldn't have imagined a strange machine like the computer in their lives.",replace,32,33,example,"example,","Replace 'example' with 'example,'",stylistic,"When using 'example' as a standalone word in a sentence, a comma should follow it if it is followed by additional explanatory content.","[{""end"": 33, ""role"": ""target"", ""start"": 32, ""text"": ""example""}]","The edit adds a comma after 'example' to properly separate it from the following explanatory clause, which is a stylistic choice to improve readability and clarity.",0.95,no,no,no,no,no,yes,no,yes,no,yes,"Codex prelabel from automatic diagnostics: wrong_evidence, edit_copy, unsupported_confidence.",refine
rf-edit-0268::qwen3_8b::rule_grounded::evidence_canonicalized,EXPECT,expect-test-00001,coedit_large,"Technology has chanched people 's lives a lot . In fact we can think how different is our life compared either to our parents ' or our grandparents ' lives . For example my parents did n't watch tv , because there was n't any tv in the world when they were young.but that is n't the only difference : we can think about the mobile phone , the computer ed finally the internet.our grandparents could n't have imagined a strange machine like the computer in their lives .","Technology has changed people's lives a lot. In fact, we can think how different our lives are compared to either our parents' or our grandparents' lives. For example, my parents didn't watch tv because there wasn't any TV in the world when they were young. But that isn't the only difference: we can think about the mobile phone, the computer, and finally the internet. Our grandparents couldn't have imagined a strange machine like the computer in their lives.",replace,69,70,computer,"computer,","Replace 'computer' with 'computer,'",stylistic,"When listing items in a series, a comma should be placed after each item except the last one.","[{""end"": 75, ""role"": ""target"", ""start"": 69, ""text"": ""computer ed finally the internet.our grandparents""}]","The edit adds a comma after 'computer' to properly separate it from the next item in the list, which is 'and finally the internet'. This follows standard punctuation rules for lists with multiple items.",0.95,no,no,no,no,no,yes,no,yes,no,yes,"Codex prelabel from automatic diagnostics: wrong_evidence, edit_copy, unsupported_confidence.",refine
rf-edit-0277::qwen3_8b::rule_grounded::evidence_canonicalized,EXPECT,expect-test-00015,coedit_large,Technology will have advanced and maybe the cars will fly above streets and computers will have totally changed .,"Technology will have advanced, and maybe cars will fly above the streets, and computers will have totally changed.",insert,11,11,,the,Inserting 'the' before 'streets' to specify which streets are being referred to.,stylistic,Nouns that refer to specific or general things should be preceded by articles like 'the' or 'a'.,"[{""end"": 12, ""role"": ""target"", ""start"": 11, ""text"": ""streets""}]","The insertion of 'the' before 'streets' is a stylistic choice to make the sentence more precise and natural, as 'streets' without an article can sound vague or incomplete in this context.",0.85,no,no,no,no,yes,yes,no,yes,no,yes,"Codex prelabel from automatic diagnostics: missing_evidence, wrong_evidence, edit_copy, unsupported_confidence.",refine
rf-edit-0284::qwen3_8b::rule_grounded::evidence_canonicalized,EXPECT,expect-test-00017,coedit_large,"Sometimes we go to partyies in the city , I dance in the parties with my friends .",Sometimes we go to parties in the city; I dance in the parties with my friends.,replace,7,8,city,city;,Replace 'city' with 'city;',stylistic,Use semicolons to separate independent clauses when the second clause is a result or explanation of the first.,"[{""end"": 8, ""role"": ""modified"", ""start"": 7, ""text"": ""city""}]","The edit introduces a semicolon after 'city' to separate the two independent clauses in the sentence. While this is not strictly necessary for grammatical correctness, it is considered stylistically acceptable as it improves readability by clearly indicating the relationship between the clauses.",0.9,no,no,no,no,no,yes,no,yes,no,yes,"Codex prelabel from automatic diagnostics: wrong_evidence, edit_copy, unsupported_confidence.",refine
rf-edit-0023::qwen3_8b::natural::evidence_canonicalized,JFLEG,jfleg-dev-0032,gector_roberta_base,Beacuse all those broad knowledge help they to understand their major in university as well as help they to make a correct choice in specializing study .,"Because all this broad knowledge helps them to understand their major at university , as well as helps them to make a correct choice specializing in studies .",replace,23,25,in specializing,specializing in,Replace 'in specializing' with 'specializing in',stylistic,"The preposition 'in' typically follows the verb 'specializing' when indicating the field of study, making 'specializing in' the preferred phrasing.","[{""end"": 25, ""role"": ""source"", ""start"": 23, ""text"": ""in specializing""}]",The phrase 'specializing in' is the standard and more natural construction when referring to a field of study. Reversing the order to 'in specializing' is non-standard and less idiomatic in English.,0.95,no,no,no,no,yes,no,no,yes,no,yes,"Codex prelabel from automatic diagnostics: missing_evidence, edit_copy, unsupported_confidence.",refine
rf-edit-0023::qwen3_8b::rule_grounded::evidence_canonicalized,JFLEG,jfleg-dev-0032,gector_roberta_base,Beacuse all those broad knowledge help they to understand their major in university as well as help they to make a correct choice in specializing study .,"Because all this broad knowledge helps them to understand their major at university , as well as helps them to make a correct choice specializing in studies .",replace,23,25,in specializing,specializing in,Replace 'in specializing' with 'specializing in',stylistic,"The preposition 'in' should typically follow the verb 'specializing' when indicating the field of study, resulting in the phrase 'specializing in'.","[{""end"": 25, ""role"": ""source"", ""start"": 23, ""text"": ""in specializing""}]",The phrase 'specializing in' is the standard and more natural phrasing when referring to a field of study. Reversing the order to 'in specializing' is non-standard and less idiomatic in English.,0.95,no,no,no,no,yes,no,no,yes,no,yes,"Codex prelabel from automatic diagnostics: missing_evidence, edit_copy, unsupported_confidence.",refine
rf-edit-0024::qwen3_8b::natural::evidence_canonicalized,JFLEG,jfleg-dev-0036,gector_roberta_base,Thus in concordance with the above I agree whole heartedly that in twenty years there will be fewer cars in use than there are today .,"Thus , in concordance with the above , I agree whole heartedly that in twenty years there will be fewer cars in use than there are today .",insert,1,1,,",",Insert a comma after 'Thus',stylistic,Use commas to separate introductory phrases from the main clause.,"[{""end"": 26, ""role"": ""source"", ""start"": 0, ""text"": ""Thus in concordance with the above I agree whole heartedly that in twenty years there will be fewer cars in use than there are today .""}]","The insertion of a comma after 'Thus' is a stylistic choice to improve readability by separating the introductory phrase from the main clause. While not strictly required, it is commonly accepted in formal writing to enhance clarity.",0.9,no,no,no,no,yes,no,no,yes,no,yes,"Codex prelabel from automatic diagnostics: missing_evidence, edit_copy, unsupported_confidence.",refine
rf-edit-0024::qwen3_8b::rule_grounded::evidence_canonicalized,JFLEG,jfleg-dev-0036,gector_roberta_base,Thus in concordance with the above I agree whole heartedly that in twenty years there will be fewer cars in use than there are today .,"Thus , in concordance with the above , I agree whole heartedly that in twenty years there will be fewer cars in use than there are today .",insert,1,1,,",",Insert a comma after 'Thus',stylistic,A comma should follow a conjunction when it is used to join two independent clauses.,"[{""end"": 26, ""role"": ""source"", ""start"": 0, ""text"": ""Thus in concordance with the above I agree whole heartedly that in twenty years there will be fewer cars in use than there are today .""}]","The insertion of a comma after 'Thus' is a stylistic choice to improve readability and clarity, though it is not strictly required in this context. The comma helps separate the introductory phrase from the main clause, making the sentence structure more distinct.",0.9,no,no,no,no,yes,no,no,yes,no,yes,"Codex prelabel from automatic diagnostics: missing_evidence, edit_copy, unsupported_confidence.",refine
rf-edit-0052::qwen3_8b::natural::evidence_canonicalized,JFLEG,jfleg-dev-0017,gector_roberta_base,because they spent time unmeaningful subjects .,because they spent time on important subjects .,replace,4,5,unmeaningful,on important,Replace 'unmeaningful' with 'on important',invalid,A preposition must follow a verb when indicating direction or relation.,"[{""end"": 5, ""role"": ""source"", ""start"": 4, ""text"": ""unmeaningful""}]","The original phrase 'spent time unmeaningful subjects' is grammatically incorrect because it lacks a preposition after the verb 'spent'. The replacement 'on important subjects' introduces a preposition ('on') which is necessary for proper syntax, but the edit incorrectly replaces the adjective 'unmeaningful' with the prepositional phrase 'on important', which is structurally invalid. The correct edit would be to add 'on' after 'spent time', not to replace 'unmeaningful' with 'on important'.",0.95,no,no,no,no,yes,no,no,yes,no,yes,"Codex prelabel from automatic diagnostics: missing_evidence, edit_copy, unsupported_confidence.",refine
rf-edit-0058::qwen3_8b::natural::evidence_canonicalized,EXPECT,expect-test-00061,gector_roberta_base,Variety of buses are provided by the government in order to meet people 's financial means .,A variety of buses are provided by the government in order to meet people 's financial means .,replace,0,1,Variety,A variety,Replace 'Variety' with 'A variety',stylistic,Use of definite or indefinite articles for noun phrases,"[{""end"": 1, ""role"": ""source"", ""start"": 0, ""text"": ""Variety""}]","The edit adds the indefinite article 'a' before 'variety', which is stylistically preferred when referring to a general category rather than a specific instance. While the original sentence is grammatically correct without the article, adding 'a' makes the sentence more natural and idiomatic in standard English usage.",0.95,no,no,no,no,yes,no,no,yes,no,yes,"Codex prelabel from automatic diagnostics: missing_evidence, edit_copy, unsupported_confidence.",refine
rf-edit-0068::qwen3_8b::natural::evidence_canonicalized,JFLEG,jfleg-dev-0021,gector_roberta_base,We have to know this problem it 's serious but almost people doens't know about this .,"We should know about this problem . It 's serious , but most people do know about it .",replace,10,11,almost,most,Replace 'almost' with 'most',acceptable_alternative,"Use 'most' to indicate a majority when referring to people or things, especially in formal writing.","[{""end"": 11, ""role"": ""original"", ""start"": 10, ""text"": ""almost""}]","The word 'almost' suggests that very few people know about the issue, which contradicts the following statement that 'most people do know about it.' Replacing 'almost' with 'most' creates consistency in meaning and aligns with the intended message that the problem is serious but widely recognized.",0.9,no,no,no,no,yes,no,no,yes,no,yes,"Codex prelabel from automatic diagnostics: missing_evidence, edit_copy, unsupported_confidence.",refine
rf-edit-0081::qwen3_8b::natural::evidence_canonicalized,EXPECT,expect-test-00054,gector_roberta_base,He has ever been with me .,He has always been with me .,replace,2,3,ever,always,Replace 'ever' with 'always' in the sentence.,valid,"Use 'always' to indicate continuous or ongoing action over time, whereas 'ever' is used to ask about past experiences or occurrences.","[{""end"": 6, ""role"": ""source"", ""start"": 0, ""text"": ""He has ever been with me""}]","The word 'ever' is typically used in questions or negative statements to imply a lack of experience, while 'always' correctly conveys the idea of continuous presence over time. Replacing 'ever' with 'always' makes the sentence grammatically accurate and semantically appropriate.",0.95,no,no,no,no,yes,no,no,yes,no,yes,"Codex prelabel from automatic diagnostics: missing_evidence, edit_copy, unsupported_confidence.",refine
rf-edit-0111::qwen3_8b::natural::evidence_canonicalized,EXPECT,expect-test-00006,gector_roberta_base,I hope my house will win the champion next year .,I hope my house will win the championship next year .,replace,7,8,champion,championship,Replace 'champion' with 'championship',valid,Use the correct noun form when referring to a title or award.,"[{""end"": 8, ""role"": ""error"", ""start"": 7, ""text"": ""champion""}]","The word 'champion' is an adjective or noun form that refers to the winner, while 'championship' is the correct noun form to describe the title or prize being won. Using 'championship' makes the sentence grammatically accurate and semantically precise in the context of winning a title.",0.95,no,no,no,no,yes,no,no,yes,no,yes,"Codex prelabel from automatic diagnostics: missing_evidence, edit_copy, unsupported_confidence.",refine
rf-edit-0111::qwen3_8b::rule_grounded::evidence_canonicalized,EXPECT,expect-test-00006,gector_roberta_base,I hope my house will win the champion next year .,I hope my house will win the championship next year .,replace,7,8,champion,championship,Replace 'champion' with 'championship',acceptable_alternative,use the appropriate noun form when referring to a competition or title,"[{""end"": 8, ""role"": ""error"", ""start"": 7, ""text"": ""champion""}]","the word 'champion' is typically used as an adjective or noun to describe a winner, while 'championship' is the correct noun form to refer to the title or prize being won. replacing 'champion' with 'championship' makes the sentence grammatically more precise and natural in this context.",0.9,no,no,no,no,yes,no,no,yes,no,yes,"Codex prelabel from automatic diagnostics: missing_evidence, edit_copy, unsupported_confidence.",refine
rf-edit-0114::qwen3_8b::natural::evidence_canonicalized,JFLEG,jfleg-dev-0035,gector_roberta_base,"If every people thinks to learn and understand lots of scientifc subjects , any person will do not do it and as a result of this any science is n't imporeved .","If everybody thinks about learning and understanding lots of scientific subjects , people will not do it and , as a result of this , any science will n't improve .",replace,7,8,understand,understanding,Replace 'understand' with 'ing' form 'understanding',stylistic,Use noun forms in parallel structures for consistency and grammatical correctness.,"[{""end"": 8, ""role"": ""source"", ""start"": 7, ""text"": ""understand""}]","The original sentence uses 'think to learn' and 'understand' in parallel, but 'understand' is a verb while 'learn' is a verb as well. To maintain parallelism and grammatical consistency, 'understand' should be converted to its gerund form 'understanding', which functions as a noun and matches the structure of 'learning'.",0.9,no,no,no,no,yes,no,no,yes,no,yes,"Codex prelabel from automatic diagnostics: missing_evidence, edit_copy, unsupported_confidence.",refine
