annotation_item_id,edit_group_id,candidate_id_blind,dataset,sample_id,model_key,model_family,error_type,error_category,source,model_prediction,model_edit,edit_description,edit_validity_claim,rule_text,evidence_spans_json,rationale,confidence,edit_alignment_label,edit_validity_label,rule_correctness_label,evidence_label,overall_faithfulness_label,learner_helpfulness_label,fluency_label,preference_label,notes
rf-nat-0017,rf-natural-0007,candidate-0017,JFLEG,jfleg-dev-0021,gector_roberta_base,sequence-to-edit,R:PRON,pronouns,We have to know this problem it 's serious but almost people doens't know about this . ,"We should know about this problem . It 's serious , but most people do know about it .","replace [15, 16) 'this' -> 'it'",Replace 'this' with 'it' to refer back to the previously mentioned problem.,acceptable_alternative,Use appropriate pronouns to refer back to previously mentioned nouns.,"[{""end"": 16, ""role"": ""antecedent"", ""start"": 15, ""text"": ""this""}, {""end"": 9, ""role"": ""antecedent"", ""start"": 4, ""text"": ""problem""}]","The pronoun 'this' is used to refer to the problem, which is a singular noun. However, 'this' typically refers to a concrete object or situation, while 'it' is more appropriate for abstract concepts like a problem. Replacing 'this' with 'it' improves clarity and grammatical correctness.",0.85,,,,,,,,,
rf-nat-0019,rf-natural-0002,candidate-0019,JFLEG,jfleg-dev-0032,gector_roberta_base,sequence-to-edit,R:WO,articles_determiners,Beacuse all those broad knowledge help they to understand their major in university as well as help they to make a correct choice in specializing study . ,"Because all this broad knowledge helps them to understand their major at university , as well as helps them to make a correct choice specializing in studies .","replace [23, 25) 'in specializing' -> 'specializing in'",Replace 'in specializing' with 'specializing in',stylistic,"The preposition 'in' typically follows the verb 'specializing' when indicating the field of study, making 'specializing in' the preferred phrasing.","[{""end"": 25, ""role"": ""source"", ""start"": 23, ""text"": ""in specializing""}, {""end"": 27, ""role"": ""target"", ""start"": 23, ""text"": ""specializing in""}]",The phrase 'specializing in' is the standard and more natural construction when referring to a field of study. Reversing the order to 'in specializing' is non-standard and less idiomatic in English.,0.95,,,,,,,,,
rf-nat-0009,rf-natural-0008,candidate-0009,EXPECT,expect-test-00018,t5_base_grammar,sequence-to-sequence,R:PREP,prepositions,"I live in San Miguel Almoloyan , this is a village in the municipality of Almoloya de Juarez in the State of Mexico . Caring of the environment is very important and in my village they take different actions to care for it .","I live in San Miguel Almoloyan , this is a village in the municipality of Almoloya de Juarez in the State of Mexico . Caring for the environment is very important and in my village they take different actions to care for it.","replace [25, 26) 'of' -> 'for'",Replace 'of' with 'for' in the phrase 'Caring of the environment',valid,"The preposition 'for' is used to indicate purpose or relation to something, whereas 'of' indicates possession or composition.","[{""end"": 29, ""role"": ""target"", ""start"": 25, ""text"": ""Caring of the environment""}]","The phrase 'Caring of the environment' is grammatically incorrect because 'of' does not convey the intended relationship between the action (caring) and its object (the environment). The correct preposition to use here is 'for', which indicates purpose or relation to something.",0.95,,,,,,,,,
rf-nat-0018,rf-natural-0016,candidate-0018,EXPECT,expect-test-00000,coedit_large,instruction-following text editor,R:PREP,prepositions,"In my community , we are very interested at the environment and ecological things .","In my community, we are very interested in the environment and ecological things.","replace [8, 9) 'at' -> 'in'",Replace 'at' with 'in' after 'interested',valid,"The preposition 'in' is used to indicate interest in something, whereas 'at' is typically used with specific locations or points.","[{""end"": 12, ""role"": ""error"", ""start"": 8, ""text"": ""interested at the environment""}, {""end"": 12, ""role"": ""correct"", ""start"": 8, ""text"": ""interested in the environment""}]","The phrase 'interested at' is grammatically incorrect when referring to interest in a subject like the environment. The correct preposition to use in this context is 'in', which indicates the object of interest.",0.95,,,,,,,,,
rf-nat-0042,rf-natural-0022,candidate-0042,EXPECT,expect-test-00017,coedit_large,instruction-following text editor,R:NOUN,lexical_choice,"Sometimes we go to partyies in the city , I dance in the parties with my friends .",Sometimes we go to parties in the city; I dance in the parties with my friends.,"replace [7, 8) 'city' -> 'city;'",Replace 'city' with 'city;',stylistic,Use semicolons to separate independent clauses when the clauses are closely related.,"[{""end"": 10, ""role"": ""source"", ""start"": 7, ""text"": ""city""}, {""end"": 11, ""role"": ""target"", ""start"": 7, ""text"": ""city;""}]","The edit replaces 'city' with 'city;' to insert a semicolon after the first clause, which is stylistically appropriate when joining two closely related independent clauses. However, this edit is optional as the original sentence could also be corrected by using a period or a comma with a conjunction.",0.9,,,,,,,,,
rf-nat-0040,rf-natural-0015,candidate-0040,EXPECT,expect-test-00014,coedit_large,instruction-following text editor,R:NOUN,lexical_choice,"i love my family especially my little sister , she has sixteen years old , i consider her my best friend because i usually tell her everything about my life .","I love my family, especially my little sister. She is sixteen years old. I consider her my best friend because I usually tell her everything about my life.","replace [7, 8) 'sister' -> 'sister.'",Replace 'sister' with 'sister.',stylistic,A period should follow a complete sentence.,"[{""end"": 8, ""role"": ""token"", ""source"": ""kept_existing"", ""start"": 7, ""text"": ""sister""}, {""end"": 8, ""role"": ""modified_token"", ""source"": ""structured_heuristic"", ""start"": 7, ""text"": ""sister""}, {""end"": 7, ""role"": ""noun_number_context"", ""source"": ""structured_heuristic"", ""start"": 6, ""text"": ""little""}, {""end"": 10, ""role"": ""noun_phrase_context"", ""source"": ""structured_heuristic"", ""start"": 9, ""text"": ""she""}]","The word 'sister' at the end of the first sentence is followed by a comma, which indicates the sentence is not yet complete. Adding a period after 'sister' would properly terminate the sentence, making it grammatically correct and stylistically appropriate. The cited source evidence is ""sister"" as modified token; ""little"" as noun number context; ""she"" as noun phrase context.",0.8,,,,,,,,,
rf-nat-0027,rf-natural-0017,candidate-0027,EXPECT,expect-test-00001,coedit_large,instruction-following text editor,U:VERB,verb_form,"Technology has chanched people 's lives a lot . In fact we can think how different is our life compared either to our parents ' or our grandparents ' lives . For example my parents did n't watch tv , because there was n't any tv in the world when they were young.but that is n't the only difference : we can think about the mobile phone , the computer ed finally the internet.our grandparents could n't have imagined a strange machine like the computer in their lives .","Technology has changed people's lives a lot. In fact, we can think how different our lives are compared to either our parents' or our grandparents' lives. For example, my parents didn't watch tv because there wasn't any TV in the world when they were young. But that isn't the only difference: we can think about the mobile phone, the computer, and finally the internet. Our grandparents couldn't have imagined a strange machine like the computer in their lives.","delete [16, 17) 'is' -> ''",Delete the verb 'is' in the phrase 'how different is our lives',invalid,"In the structure 'how different our lives are', the verb 'are' should be used instead of 'is' to maintain subject-verb agreement.","[{""end"": 17, ""role"": ""error"", ""source"": ""kept_existing"", ""start"": 16, ""text"": ""is""}, {""end"": 16, ""role"": ""verb_context"", ""source"": ""structured_heuristic"", ""start"": 15, ""text"": ""different""}, {""end"": 18, ""role"": ""verb_complement_or_time_context"", ""source"": ""structured_heuristic"", ""start"": 17, ""text"": ""our""}]","The cited source evidence is ""our"" as verb complement or time context. This evidence supports the rule that In the structure 'how different our lives are', the verb 'are' should be used instead of 'is' to maintain subject-verb agreement.",0.8,,,,,,,,,
rf-nat-0006,rf-natural-0019,candidate-0006,EXPECT,expect-test-00001,coedit_large,instruction-following text editor,R:NOUN,lexical_choice,"Technology has chanched people 's lives a lot . In fact we can think how different is our life compared either to our parents ' or our grandparents ' lives . For example my parents did n't watch tv , because there was n't any tv in the world when they were young.but that is n't the only difference : we can think about the mobile phone , the computer ed finally the internet.our grandparents could n't have imagined a strange machine like the computer in their lives .","Technology has changed people's lives a lot. In fact, we can think how different our lives are compared to either our parents' or our grandparents' lives. For example, my parents didn't watch tv because there wasn't any TV in the world when they were young. But that isn't the only difference: we can think about the mobile phone, the computer, and finally the internet. Our grandparents couldn't have imagined a strange machine like the computer in their lives.","replace [69, 70) 'computer' -> 'computer,'",Adding a comma after 'computer',stylistic,A comma should be used to separate items in a list when the list contains three or more items.,"[{""end"": 70, ""role"": ""target"", ""start"": 69, ""text"": ""the mobile phone, the computer ed finally the internet""}]","The edit adds a comma after 'computer' to properly separate items in the list. While the original sentence may still be understandable, the addition of the comma improves clarity and adheres to standard punctuation rules for lists.",0.95,,,,,,,,,
rf-nat-0008,rf-natural-0003,candidate-0008,EXPECT,expect-test-00040,gector_roberta_base,sequence-to-edit,U:DET,articles_determiners,"I think about transport that the government should help the public transport , for example buses , train , the metro and more , for a single reason : the quality of life against the pollution .","I think about transport that the government should help public transport , for example buses , trains , the metro and more , for a single reason : the quality of life against pollution .","delete [34, 35) 'the' -> ''",Delete the article 'the' before 'pollution'.,stylistic,Articles like 'the' may be omitted when they are redundant or when the noun phrase is clearly understood without them.,"[{""end"": 39, ""role"": ""original"", ""start"": 34, ""text"": ""the quality of life against pollution""}, {""end"": 39, ""role"": ""modified"", ""start"": 34, ""text"": ""quality of life against pollution""}]","The article 'the' before 'pollution' is stylistically unnecessary because it is already clear from context that the comparison is between quality of life and pollution, without requiring a definite article. Removing 'the' makes the sentence more concise and natural.",0.9,,,,,,,,,
rf-nat-0016,rf-natural-0019,candidate-0016,EXPECT,expect-test-00001,coedit_large,instruction-following text editor,R:NOUN,lexical_choice,"Technology has chanched people 's lives a lot . In fact we can think how different is our life compared either to our parents ' or our grandparents ' lives . For example my parents did n't watch tv , because there was n't any tv in the world when they were young.but that is n't the only difference : we can think about the mobile phone , the computer ed finally the internet.our grandparents could n't have imagined a strange machine like the computer in their lives .","Technology has changed people's lives a lot. In fact, we can think how different our lives are compared to either our parents' or our grandparents' lives. For example, my parents didn't watch tv because there wasn't any TV in the world when they were young. But that isn't the only difference: we can think about the mobile phone, the computer, and finally the internet. Our grandparents couldn't have imagined a strange machine like the computer in their lives.","replace [69, 70) 'computer' -> 'computer,'","Replace 'computer' with 'computer,'",stylistic,"When listing items in a series, a comma should be placed after each item except the last one.","[{""end"": 70, ""role"": ""modified_token"", ""source"": ""structured_heuristic"", ""start"": 69, ""text"": ""computer""}, {""end"": 67, ""role"": ""noun_number_context"", ""source"": ""structured_heuristic"", ""start"": 66, ""text"": ""phone""}, {""end"": 71, ""role"": ""noun_phrase_context"", ""source"": ""structured_heuristic"", ""start"": 70, ""text"": ""ed""}]","The edit adds a comma after 'computer' to properly separate it from the next item in the list, which is 'and finally the internet'. This follows standard punctuation rules for lists with multiple items.",0.95,,,,,,,,,
rf-nat-0004,rf-natural-0011,candidate-0004,EXPECT,expect-test-00009,t5_base_grammar,sequence-to-sequence,M:DET,articles_determiners,But such a high level of development of Egyptian civilization has a negative side as well as positive .,"There is a high level of development of Egyptian civilization, but there is a negative side as well as a positive side.","insert [17, 17) '' -> 'a'",Inserting 'a' before 'positive' to complete the phrase 'as well as a positive side',stylistic,"Use of indefinite articles ('a', 'an') before singular countable nouns.","[{""end"": 18, ""role"": ""head_noun"", ""source"": ""structured_heuristic"", ""start"": 17, ""text"": ""positive""}]","The cited source evidence is ""positive"" as head noun. This evidence supports the rule that Use of indefinite articles ('a', 'an') before singular countable nouns.",0.8,,,,,,,,,
rf-nat-0037,rf-natural-0015,candidate-0037,EXPECT,expect-test-00014,coedit_large,instruction-following text editor,R:NOUN,lexical_choice,"i love my family especially my little sister , she has sixteen years old , i consider her my best friend because i usually tell her everything about my life .","I love my family, especially my little sister. She is sixteen years old. I consider her my best friend because I usually tell her everything about my life.","replace [7, 8) 'sister' -> 'sister.'",Replace 'sister' with 'sister.',stylistic,A period should follow a complete sentence.,"[{""end"": 12, ""role"": ""token"", ""start"": 7, ""text"": ""sister""}]","The word 'sister' at the end of the first sentence is followed by a comma, which indicates the sentence is not yet complete. Adding a period after 'sister' would properly terminate the sentence, making it grammatically correct and stylistically appropriate.",0.95,,,,,,,,,
rf-nat-0045,rf-natural-0006,candidate-0045,EXPECT,expect-test-00061,gector_roberta_base,sequence-to-edit,M:DET,lexical_choice,Variety of buses are provided by the government in order to meet people 's financial means .,A variety of buses are provided by the government in order to meet people 's financial means .,"replace [0, 1) 'Variety' -> 'A variety'",Replace 'Variety' with 'A variety',stylistic,Use of definite or indefinite articles for noun phrases,"[{""end"": 1, ""role"": ""source"", ""source"": ""kept_existing"", ""start"": 0, ""text"": ""Variety""}, {""end"": 3, ""role"": ""head_noun"", ""source"": ""structured_heuristic"", ""start"": 2, ""text"": ""buses""}]","The edit adds the indefinite article 'a' before 'variety', which is stylistically preferred when referring to a general category rather than a specific instance. While the original sentence is grammatically correct without the article, adding 'a' makes the sentence more natural and idiomatic in standard English usage. The cited source evidence is ""buses"" as head noun.",0.8,,,,,,,,,
rf-nat-0005,rf-natural-0016,candidate-0005,EXPECT,expect-test-00000,coedit_large,instruction-following text editor,R:PREP,prepositions,"In my community , we are very interested at the environment and ecological things .","In my community, we are very interested in the environment and ecological things.","replace [8, 9) 'at' -> 'in'",Replace 'at' with 'in' after 'interested',valid,"The preposition 'in' is used to indicate interest in something, whereas 'at' is typically used with specific locations or points.","[{""end"": 11, ""role"": ""error_span"", ""source"": ""kept_existing"", ""start"": 7, ""text"": ""interested at the environment""}, {""end"": 8, ""role"": ""preposition_governor"", ""source"": ""structured_heuristic"", ""start"": 7, ""text"": ""interested""}, {""end"": 11, ""role"": ""preposition_complement"", ""source"": ""structured_heuristic"", ""start"": 10, ""text"": ""environment""}]","The phrase 'interested in' is a standard collocation used to express interest in a subject, such as the environment. The preposition 'at' is not appropriate here because it typically refers to specific locations or points rather than abstract concepts like the environment.",0.95,,,,,,,,,
rf-nat-0026,rf-natural-0020,candidate-0026,EXPECT,expect-test-00013,coedit_large,instruction-following text editor,U:DET,articles_determiners,Computers have had a most significant impact on the people in the latter 1/2 of the 20th century .,Computers have had a most significant impact on people in the latter half of the 20th century.,"delete [8, 9) 'the' -> ''",Delete the article 'the' before 'latter half of the 20th century'.,stylistic,Articles like 'the' may be omitted when the noun phrase is clearly defined or when the context makes the reference unambiguous.,"[{""end"": 9, ""role"": ""deleted"", ""start"": 8, ""text"": ""the""}, {""end"": 34, ""role"": ""referent"", ""start"": 9, ""text"": ""latter half of the 20th century""}]",The article 'the' before 'latter half of the 20th century' is stylistically optional because the time period is clearly defined and widely understood in the context. Removing it results in a more concise and natural phrasing.,0.95,,,,,,,,,
rf-nat-0036,rf-natural-0005,candidate-0036,EXPECT,expect-test-00018,gector_roberta_base,sequence-to-edit,R:PREP,prepositions,"I live in San Miguel Almoloyan , this is a village in the municipality of Almoloya de Juarez in the State of Mexico . Caring of the environment is very important and in my village they take different actions to care for it .",I live in San Miguel Almoloyan . This is a village in the municipality of Almoloya de Juarez in the State of Mexico . Caring for the environment is very important and in my village they take different actions to care for it .,"replace [25, 26) 'of' -> 'for'",Replace 'of' with 'for' in the phrase 'Caring of the environment',valid,"The preposition 'for' is used to indicate purpose or relation to something, while 'of' indicates possession or composition.","[{""end"": 29, ""role"": ""target"", ""start"": 25, ""text"": ""Caring of the environment""}]","The phrase 'Caring of the environment' is grammatically incorrect because 'of' does not convey the intended relationship between the action (caring) and its object (the environment). The correct preposition to use here is 'for', which indicates purpose or relation to something.",0.95,,,,,,,,,
